Genus,IDs_x,IDs_y
Acidiphilium,"['1985643831', '1985643690', '1059794077', '1059794067', '1059794066', '1059794064', '1059794063', '908660396', '908660395', '908660394', '908660388', '908660384', '452084928', '452084913', '358247708', '310915100', '310915096', '310915082', '285307261', '285307254']","['1985643831', '1985643690', '1059794077', '1059794067', '1059794066', '1059794064', '1059794063', '908660396', '908660395', '908660394', '908660388', '908660384', '452084928', '452084913', '358247708', '310915100', '310915096', '310915082', '285307261', '285307254']"
Acidisoma,"['1985645440', '1962359369', '171854382', '171854381', '452084925', '452084916', '363805646', '171854380']","['1985645440', '1962359369', '171854382', '171854381', '452084925', '452084916', '363805646', '171854380']"
Acidithrix,['908660382'],['908660382']
Acidobacterium ,"['1962359462', '908660397', '358247695', '172052207', '172052201', '340743714', '291513537', '285307351', '285307242', '285307240', '285307239', '285307235', '285307230', '285307229', '285307228', '285307226', '285307218', '285307217', '285307214', '285307212']","['1962359462', '908660397', '358247695', '172052207', '172052201', '340743714', '291513537', '285307351', '285307242', '285307240', '285307239', '285307235', '285307230', '285307229', '285307228', '285307226', '285307218', '285307217', '285307214', '285307212']"
Acidocella,"['1059794065', '699045396', '908660391', '908660390', '452084923', '452084915', '363806109', '358247702', '310915107', '112362928', '112362900', '2462909']","['1059794065', '699045396', '908660391', '908660390', '452084923', '452084915', '363806109', '358247702', '310915107', '112362928', '112362900', '2462909']"
Acidovorax,"['2278607875', '1985645620', '1605110063', '1269619797', '1219553129', '1219553070', '1219550465', '1219550403', '1215531019', '1206269551', '1206269546', '1200878664', '1190331567', '1190331564', '984880563', '1079706733', '1079706595', '1079706536', '1041792989', '1033473091']","['2278607875', '1985645620', '1605110063', '1269619797', '1219553129', '1219553070', '1219550465', '1219550403', '1215531019', '1206269551', '1206269546', '1200878664', '1190331567', '1190331564', '984880563', '1079706733', '1079706595', '1079706536', '1041792989', '1033473091']"
Acinetobacter,"['2502722201', '2278607876', '1635510543', '1635510542', '1635510520', '1635510518', '1635510502', '1635510501', '1635510499', '1635510495', '1635510446', '1635510442', '1635510438', '1635510432', '1635504342', '1635504341', '1635504340', '354952153', '2104759758', '1985648237']","['2502722201', '2278607876', '1635510543', '1635510542', '1635510520', '1635510518', '1635510502', '1635510501', '1635510499', '1635510495', '1635510446', '1635510442', '1635510438', '1635510432', '1635504342', '1635504341', '1635504340', '354952153', '2104759758', '1985648237']"
Actibacterium,['356995329'],['356995329']
Actinobacillus,"['440576856', '1139280910', '1139280908', '1139274759', '1139274710', '998611998', '22796112', '440576855', '440576854', '440576853', '440576852', '440576851', '440576850', '162849063', '162846513', '162846483', '22796116', '22796110', '22796109', '22796108']","['440576856', '1139280910', '1139280908', '1139274759', '1139274710', '998611998', '22796112', '440576855', '440576854', '440576853', '440576852', '440576851', '440576850', '162849063', '162846513', '162846483', '22796116', '22796110', '22796109', '22796108']"
Actinobacterium,[],[]
Actinobacterium VeSm15,['6273409'],['6273409']
Actinomyces,"['2278607877', '1962356758', '1962355862', '1962355827', '1962354282', '1962354067', '1419211837', '1269613308', '1269612911', '1269613945', '1268838953', '1219550883', '1219550723', '1219550671', '1124777655', '1154066555', '1079707371', '1154066556', '1150018784', '1150018783']","['2278607877', '1962356758', '1962355862', '1962355827', '1962354282', '1962354067', '1419211837', '1269613308', '1269612911', '1269613945', '1268838953', '1219550883', '1219550723', '1219550671', '1124777655', '1154066555', '1079707371', '1154066556', '1150018784', '1150018783']"
Actinotalea,"['2104759759', '664616058', '664616054']","['2104759759', '664616058', '664616054']"
Advenella,"['1418093825', '1417735422', '1210626977', '1206255839', '1182660338', '558476480', '1071034241', '1079705271', '1079705033', '1041792254', '906846765', '906358339', '683509029', '238653295', '56266606', '56266605', '56266604', '56266603', '531033829', '322808068']","['1418093825', '1417735422', '1210626977', '1206255839', '1182660338', '558476480', '1071034241', '1079705271', '1079705033', '1041792254', '906846765', '906358339', '683509029', '238653295', '56266606', '56266605', '56266604', '56266603', '531033829', '322808068']"
AEGEAN-169 marine group,[],[]
Aerococcus,"['1962355988', '1674370642', '1215531044', '1041787873', '995969405', '827476021', '807778481', '807778480', '762218895', '762218701', '762218674', '762218649', '762218603', '762218567', '762218552', '762218503', '762218493', '762218437', '762218409', '762218385']","['1962355988', '1674370642', '1215531044', '1041787873', '995969405', '827476021', '807778481', '807778480', '762218895', '762218701', '762218674', '762218649', '762218603', '762218567', '762218552', '762218503', '762218493', '762218437', '762218409', '762218385']"
Aeromonas,"['1985644671', '1990475854', '1962354554', '1862867217', '1769932974', '1769932952', '1516607817', '1516607816', '1516607815', '1516607814', '1516607813', '1516607812', '1516607811', '1516607810', '1516607809', '1516607808', '1516607807', '1516607806', '1516607805', '1516607804']","['1985644671', '1990475854', '1962354554', '1862867217', '1769932974', '1769932952', '1516607817', '1516607816', '1516607815', '1516607814', '1516607813', '1516607812', '1516607811', '1516607810', '1516607809', '1516607808', '1516607807', '1516607806', '1516607805', '1516607804']"
Aestuariimicrobium,"['1079706233', '1079706068']","['1079706233', '1079706068']"
Afipia,"['2265463635', '2265463511', '2265463506', '1033474349', '1033472658', '998614455', '672229296', '502525047', '440576613', '413958080', '358029502', '317453444', '313760344', '219896164', '300681738', '296061367', '260223718', '158933852', '121495671', '192806165']","['2265463635', '2265463511', '2265463506', '1033474349', '1033472658', '998614455', '672229296', '502525047', '440576613', '413958080', '358029502', '317453444', '313760344', '219896164', '300681738', '296061367', '260223718', '158933852', '121495671', '192806165']"
Agaricicola,[],[]
Aggregatibacter,"['2278607881', '2105486926', '2046854228', '1139291196', '1139289965', '1139289384', '1139289380', '1139289324', '1139289320', '1139289316', '1139288852', '1139288821', '1139288809', '1139288808', '1139288803', '1139288779', '1139288777', '1139287759', '1139282972', '1139282965']","['2278607881', '2105486926', '2046854228', '1139291196', '1139289965', '1139289384', '1139289380', '1139289324', '1139289320', '1139289316', '1139288852', '1139288821', '1139288809', '1139288808', '1139288803', '1139288779', '1139288777', '1139287759', '1139282972', '1139282965']"
Agrobacterium,"['1862917190', '1862917183', '1672810366', '1672810364', '1672810349', '1625683955', '1605110061', '1518648687', '1475403634', '1468550209', '1363983714', '1363983616', '1356684123', '1356684120', '1279334829', '1158556330', '1139287396', '1139274405', '1137160937', '1001184221']","['1862917190', '1862917183', '1672810366', '1672810364', '1672810349', '1625683955', '1605110061', '1518648687', '1475403634', '1468550209', '1363983714', '1363983616', '1356684123', '1356684120', '1279334829', '1158556330', '1139287396', '1139274405', '1137160937', '1001184221']"
Agrococcus,"['1795714487', '1795714483', '1215531021', '558476453', '1121379892', '1100787591', '1024389138', '1001180798', '1001178433', '974984780', '954166397', '954166396', '954166228', '559104850', '817250504', '807778493', '777177435', '773554207', '762218694', '762218405']","['1795714487', '1795714483', '1215531021', '558476453', '1121379892', '1100787591', '1024389138', '1001180798', '1001178433', '974984780', '954166397', '954166396', '954166228', '559104850', '817250504', '807778493', '777177435', '773554207', '762218694', '762218405']"
Agromyces,"['1985645107', '1877246713', '1815644355', '1635510471', '1635510464', '1635510462', '1635510440', '1625683942', '1625683921', '1356684151', '1190331576', '1190331568', '1190331566', '558476454', '1121380237', '954166398', '820947165', '802131087', '762210426', '729042178']","['1985645107', '1877246713', '1815644355', '1635510471', '1635510464', '1635510462', '1635510440', '1625683942', '1625683921', '1356684151', '1190331576', '1190331568', '1190331566', '558476454', '1121380237', '954166398', '820947165', '802131087', '762210426', '729042178']"
Albidiferax,"['1985643684', '1328369214', '1206270438', '1206270172', '1206269896', '1206269605', '1079706111', '1079706067', '1041792262', '1033473130', '998613565', '692313606', '672229600', '519113572', '666418741', '666418740', '666418722', '296531546', '296531541', '378401443']","['1985643684', '1328369214', '1206270438', '1206270172', '1206269896', '1206269605', '1079706111', '1079706067', '1041792262', '1033473130', '998613565', '692313606', '672229600', '519113572', '666418741', '666418740', '666418722', '296531546', '296531541', '378401443']"
Albidiferax sp. 7A-189,[],[]
Alcaligenes,"['2265463649', '1997760221', '1997760218', '1997760215', '1997760212', '1997760200', '1997760198', '1997760197', '1997760196', '1997760193', '1997760190', '1997760179', '1997760178', '1997760170', '1997760166', '1870217396', '1827494941', '1827494940', '1827494939', '1219550522']","['2265463649', '1997760221', '1997760218', '1997760215', '1997760212', '1997760200', '1997760198', '1997760197', '1997760196', '1997760193', '1997760190', '1997760179', '1997760178', '1997760170', '1997760166', '1870217396', '1827494941', '1827494940', '1827494939', '1219550522']"
Alcanivorax,"['1962359625', '1521589984', '1521588389', '1521588388', '1521584017', '1521583953', '1521583952', '1521583951', '1521583950', '1336499489', '1336499486', '1336499473', '1336499472', '1332656890', '1332656889', '1332656888', '1332656887', '1332656886', '1332656885', '1332656884']","['1962359625', '1521589984', '1521588389', '1521588388', '1521584017', '1521583953', '1521583952', '1521583951', '1521583950', '1336499489', '1336499486', '1336499473', '1336499472', '1332656890', '1332656889', '1332656888', '1332656887', '1332656886', '1332656885', '1332656884']"
Alicycliphilus,"['381140140', '77415866', '77415831', '77415830', '77415810', '16943778']","['381140140', '77415866', '77415831', '77415830', '77415810', '16943778']"
Alicyclobacillus,"['1985648445', '1003585604', '998612150', '914241884', '914241798', '194032969', '310915099', '310915081', '152002718', '152002717', '152002709', '152002708', '152002700', '151558771', '166408684', '57434240', '57434239', '57434236', '57434235', '311359']","['1985648445', '1003585604', '998612150', '914241884', '914241798', '194032969', '310915099', '310915081', '152002718', '152002717', '152002709', '152002708', '152002700', '151558771', '166408684', '57434240', '57434239', '57434236', '57434235', '311359']"
Alishewanella,"['2265463633', '2265463631', '1962356750', '1190331588', '1190331572', '1190331569', '729042050', '729042040', '198447078', '144225573', '226335495', '166408893', '166408759', '166408751', '166408725']","['2265463633', '2265463631', '1962356750', '1190331588', '1190331572', '1190331569', '729042050', '729042040', '198447078', '144225573', '226335495', '166408893', '166408759', '166408751', '166408725']"
Alkalibacter,['2318612364'],['2318612364']
Alkaliphilus,"['1079705250', '1079705012', '1041791531', '1041791530', '1041791529', '1041791528', '1041791527', '1041791526', '1041791525', '1041791524', '1041791523', '1033474135', '1033474002', '1033472192', '664616072', '323713988', '323713984', '301170690', '57864036', '50949241']","['1079705250', '1079705012', '1041791531', '1041791530', '1041791529', '1041791528', '1041791527', '1041791526', '1041791525', '1041791524', '1041791523', '1033474135', '1033474002', '1033472192', '664616072', '323713988', '323713984', '301170690', '57864036', '50949241']"
Alkanindiges,"['1985646615', '1206270288', '1164577748', '1164577746', '1164577744', '1164577741', '1164577739', '1164577737', '1164577734', '1015806897', '1015806896', '1015806895', '1015806894', '998613057', '94016556']","['1985646615', '1206270288', '1164577748', '1164577746', '1164577744', '1164577741', '1164577739', '1164577737', '1164577734', '1015806897', '1015806896', '1015806895', '1015806894', '998613057', '94016556']"
Alloiococcus,"['1139272995', '1139271217']","['1139272995', '1139271217']"
Alloprevotella,"['2318642357', '2318640877', '2318635366', '2318618587', '2318612412', '2318612219', '2318611861', '2318611667', '2318611660', '2318611138', '2278607885', '1962355930', '1962355814', '1269614016', '1269613997', '1139277703', '1139277694', '1139290026', '1139290002', '1139289988']","['2318642357', '2318640877', '2318635366', '2318618587', '2318612412', '2318612219', '2318611861', '2318611667', '2318611660', '2318611138', '2278607885', '1962355930', '1962355814', '1269614016', '1269613997', '1139277703', '1139277694', '1139290026', '1139290002', '1139289988']"
alpha proteobacterium,[],[]
alpha proteobacterium C0014(2010),[],[]
alpha proteobacterium KC-IT-F2,[],[]
alpha proteobacterium R-36935,['315002308'],['315002308']
Altererythrobacter,"['1985646935', '1985646347', '1985644347', '1985642992', '1962359265', '1962356308', '1962354503', '1962354377', '1795714322', '1795714321', '1795714320', '1795714317', '1417735444', '1417735443', '1417735442', '1417735441', '1417735440', '1417735439', '1417735438', '1417735437']","['1985646935', '1985646347', '1985644347', '1985642992', '1962359265', '1962356308', '1962354503', '1962354377', '1795714322', '1795714321', '1795714320', '1795714317', '1417735444', '1417735443', '1417735442', '1417735441', '1417735440', '1417735439', '1417735438', '1417735437']"
Alteromonas,"['2295461654', '2295461652', '2295461624', '2295461619', '2295461599', '2295461594', '2295461580', '2295461578', '2295461562', '2295461544', '311690799', '311690789', '311690782', '311690780', '311690779', '311690769', '311690723', '311690719', '311690718', '311690716']","['2295461654', '2295461652', '2295461624', '2295461619', '2295461599', '2295461594', '2295461580', '2295461578', '2295461562', '2295461544', '311690799', '311690789', '311690782', '311690780', '311690779', '311690769', '311690723', '311690719', '311690718', '311690716']"
Amaricoccus,"['1985644065', '1200878629', '1041792231', '1041792230', '1041792229', '1041792228', '1033474804', '1033474302', '1033474178', '1033473863', '1033473675', '1033473111', '998613447', '285307366', '285307360', '285307169', '242246730', '192806225', '192805240']","['1985644065', '1200878629', '1041792231', '1041792230', '1041792229', '1041792228', '1033474804', '1033474302', '1033474178', '1033473863', '1033473675', '1033473111', '998613447', '285307366', '285307360', '285307169', '242246730', '192806225', '192805240']"
Amb_Tax,[],[]
Aminicenantes bacterium,[],[]
Ammonifex,[],[]
Anaerobacillus,"['1033473332', '926438147', '926438125', '723796421', '723796420', '56266617']","['1033473332', '926438147', '926438125', '723796421', '723796420', '56266617']"
Anaerococcus,"['2472115725', '2318621397', '2318617806', '2318615139', '2318611423', '2302170297', '2278607888', '1962359512', '1962357040', '1962356984', '1962356781', '1962356506', '1962355923', '1962354397', '1795716255', '1313718766', '1313716616', '1253209946', '118636954', '1219455782']","['2472115725', '2318621397', '2318617806', '2318615139', '2318611423', '2302170297', '2278607888', '1962359512', '1962357040', '1962356984', '1962356781', '1962356506', '1962355923', '1962354397', '1795716255', '1313718766', '1313716616', '1253209946', '118636954', '1219455782']"
Anaerolinea,"['1206255917', '1041787807', '1033474656', '1033472459', '1033472432', '762207516', '242246545', '192806471']","['1206255917', '1041787807', '1033474656', '1033472459', '1033472432', '762207516', '242246545', '192806471']"
Anaeromyxobacter,"['1206271094', '1206271009', '378401411', '358247735', '187936523', '187268902', '325974590', '299034768', '30140443']","['1206271094', '1206271009', '378401411', '358247735', '187936523', '187268902', '325974590', '299034768', '30140443']"
Anaerospora,['998611674'],['998611674']
Anaerostipes,"['2318645763', '2318644167', '2318643848', '2318643645', '2318643346', '2318643288', '2318643203', '2318642701', '2318642686', '2318642169', '2318641823', '2318641470', '2318641456', '2318640905', '2318640559', '2318640379', '2318638700', '2318638513', '2318638300', '2318637494']","['2318645763', '2318644167', '2318643848', '2318643645', '2318643346', '2318643288', '2318643203', '2318642701', '2318642686', '2318642169', '2318641823', '2318641470', '2318641456', '2318640905', '2318640559', '2318640379', '2318638700', '2318638513', '2318638300', '2318637494']"
Anaerovorax,"['1219550740', '1206271074', '1206270843', '1206270768', '1206270658', '1206270431', '1206270329', '1206270046', '1206269857', '1206269856', '1206269655', '1206255550', '1079705632', '1041791659', '1041791658', '1041791657', '1041791656', '1041791655', '1041791654', '1041791653']","['1219550740', '1206271074', '1206270843', '1206270768', '1206270658', '1206270431', '1206270329', '1206270046', '1206269857', '1206269856', '1206269655', '1206255550', '1079705632', '1041791659', '1041791658', '1041791657', '1041791656', '1041791655', '1041791654', '1041791653']"
Ancylobacter,"['1672810356', '914241835', '817250468', '557675930', '460834700', '387911711', '387911703', '387911693', '387911689', '387911682', '363806113', '154936817', '333755743', '333755742', '261381630', '261381569']","['1672810356', '914241835', '817250468', '557675930', '460834700', '387911711', '387911703', '387911693', '387911689', '387911682', '363806113', '154936817', '333755743', '333755742', '261381630', '261381569']"
Anderseniella,"['1795714296', '408767069', '150171013']","['1795714296', '408767069', '150171013']"
Anoxybacillus,"['1184387701', '1184387700', '1184387699', '1184387698', '1184387697', '1139289027', '1139288987', '1139288652', '1139288651', '1139284477', '1139284473', '1139282346', '1139282271', '1139281466', '1139280106', '1139276790', '1139272388', '1139272372', '1139267852', '1139267834']","['1184387701', '1184387700', '1184387699', '1184387698', '1184387697', '1139289027', '1139288987', '1139288652', '1139288651', '1139284477', '1139284473', '1139282346', '1139282271', '1139281466', '1139280106', '1139276790', '1139272388', '1139272372', '1139267852', '1139267834']"
Aquabacter,['313760333'],['313760333']
Aquabacterium,"['1985645587', '1962354391', '1219553139', '1219552983', '1219552982', '1219552948', '1219550815', '1219550696', '1219550386', '1206270296', '1206269866', '1079706617', '1079706109', '1033472306', '927920384', '672229586', '560878608', '560878563', '560878559', '560878555']","['1985645587', '1962354391', '1219553139', '1219552983', '1219552982', '1219552948', '1219550815', '1219550696', '1219550386', '1206270296', '1206269866', '1079706617', '1079706109', '1033472306', '927920384', '672229586', '560878608', '560878563', '560878559', '560878555']"
Aquamicrobium,"['2265463637', '1269613043', '1219553320', '1219553048', '1219552838', '1219552835', '1219552833', '1219552825', '1219550912', '1041792221', '1041792220', '1033473584', '930425246', '169643231', '169643230', '169643229', '169643228', '169643227', '169643226', '202957440']","['2265463637', '1269613043', '1219553320', '1219553048', '1219552838', '1219552835', '1219552833', '1219552825', '1219550912', '1041792221', '1041792220', '1033473584', '930425246', '169643231', '169643230', '169643229', '169643228', '169643227', '169643226', '202957440']"
Aquaspirillum arcticum group,[],[]
Aquaspirillum polymorphum,[],[]
Aquicella,"['1985648289', '1985648254', '1985647947', '1985647786', '1985647624', '1985647325', '1985647164', '1985647071', '1985646692', '1985646085', '1985645970', '1985645880', '1985645451', '1985645031', '1985644975', '1985644836', '1985644543', '1985643495', '1985643375', '1962356021']","['1985648289', '1985648254', '1985647947', '1985647786', '1985647624', '1985647325', '1985647164', '1985647071', '1985646692', '1985646085', '1985645970', '1985645880', '1985645451', '1985645031', '1985644975', '1985644836', '1985644543', '1985643495', '1985643375', '1962356021']"
Aquimonas,"['1206270198', '1206270006', '166998024', '166997987', '192804760', '192804546', '192804499', '115334091', '115334084', '115334079', '115334061', '110681421']","['1206270198', '1206270006', '166998024', '166997987', '192804760', '192804546', '192804499', '115334091', '115334084', '115334079', '115334061', '110681421']"
Aquincola,"['1039001874', '750239563', '697264490']","['1039001874', '750239563', '697264490']"
Aquipuribacter,"['1985643783', '239703778', '268326531']","['1985643783', '239703778', '268326531']"
Arachidicoccus,[],[]
Arenimonas,"['1985645792', '1985644994', '1985644929', '1985644818', '1985644773', '1985644630', '1985644614', '1985643414', '1985643310', '1985642995', '1269614051', '1033474553', '359811755', '89241569', '675818017', '89241568', '187319403', '183014028']","['1985645792', '1985644994', '1985644929', '1985644818', '1985644773', '1985644630', '1985644614', '1985643414', '1985643310', '1985642995', '1269614051', '1033474553', '359811755', '89241569', '675818017', '89241568', '187319403', '183014028']"
Arthrobacter,"['2302170182', '1985647824', '1985645375', '1985643211', '1985642991', '1962354641', '1877246883', '1877246871', '1877246870', '1877246865', '1877246799', '1877246782', '1877246769', '1877246760', '1877246758', '1877246747', '1877246728', '1877246699', '1877246670', '1862867218']","['2302170182', '1985647824', '1985645375', '1985643211', '1985642991', '1962354641', '1877246883', '1877246871', '1877246870', '1877246865', '1877246799', '1877246782', '1877246769', '1877246760', '1877246758', '1877246747', '1877246728', '1877246699', '1877246670', '1862867218']"
Arthrospira,"['19912973', '19912977', '19912976', '19912975', '19912974', '19912972', '19912971', '19912970', '19912969', '19912968', '19912967', '19912966', '19912965', '19912964', '19912963', '19912961']","['19912973', '19912977', '19912976', '19912975', '19912974', '19912972', '19912971', '19912970', '19912969', '19912968', '19912967', '19912966', '19912965', '19912964', '19912963', '19912961']"
Asticcacaulis,"['1985644942', '1985644530', '1985644285', '1962355760', '387911670', '295809758', '76359448', '192805049', '187453126', '8977595', '8977594', '3319863', '3319862']","['1985644942', '1985644530', '1985644285', '1962355760', '387911670', '295809758', '76359448', '192805049', '187453126', '8977595', '8977594', '3319863', '3319862']"
Atopobium,"['2278607895', '1962353845', '1356684103', '1328373307', '1328373202', '1328373106', '1328371962', '1328371345', '1328370452', '1328370117', '1328369699', '1328369642', '1328369264', '1328369226', '1269613267', '1269612884', '1269614191', '1139291339', '1139291326', '1139291303']","['2278607895', '1962353845', '1356684103', '1328373307', '1328373202', '1328373106', '1328371962', '1328371345', '1328370452', '1328370117', '1328369699', '1328369642', '1328369264', '1328369226', '1269613267', '1269612884', '1269614191', '1139291339', '1139291326', '1139291303']"
Atopococcus,['70907772'],['70907772']
Atopostipes,"['1041787879', '1041787878', '1041787877', '1033472070', '1033471723', '377550091']","['1041787879', '1041787878', '1041787877', '1033472070', '1033471723', '377550091']"
Azoarcus,"['1219551256', '1219551247', '1219551244', '1219551243', '1219551210', '1219551207', '1219551197', '1219550937', '1219550381', '1215531036', '1033474289', '926438146', '299034780', '299034772', '1261966', '18996270', '3256071', '928882', '928881', '439582']","['1219551256', '1219551247', '1219551244', '1219551243', '1219551210', '1219551207', '1219551197', '1219550937', '1219550381', '1215531036', '1033474289', '926438146', '299034780', '299034772', '1261966', '18996270', '3256071', '928882', '928881', '439582']"
Azonexus,"['1206269999', '1206269563', '1033472435', '729042058', '301170624', '50949242', '50949223']","['1206269999', '1206269563', '1033472435', '729042058', '301170624', '50949242', '50949223']"
Azorhizobium,"['1363983654', '322505878', '175831', '1313917', '2689186', '76665711', '76665710', '76665709', '296406', '39103376']","['1363983654', '322505878', '175831', '1313917', '2689186', '76665711', '76665710', '76665709', '296406', '39103376']"
Azospira,"['1219551464', '1219551462', '1219551461', '1219551459', '1219551458', '1219551457', '1219551456', '1219551450', '1219551441', '1219551423', '1219551402', '1219551399', '1219551250', '1219551238', '1219551233', '1219551203', '1219550793', '1219550379', '1033472697', '1033471739']","['1219551464', '1219551462', '1219551461', '1219551459', '1219551458', '1219551457', '1219551456', '1219551450', '1219551441', '1219551423', '1219551402', '1219551399', '1219551250', '1219551238', '1219551233', '1219551203', '1219550793', '1219550379', '1033472697', '1033471739']"
Azospirillum,"['590114412', '1985646252', '1985645734', '1962356876', '1674370645', '1363983611', '1162561524', '1100787819', '1104468744', '408534827', '408534826', '408534825', '408534824', '408534823', '1031978579', '1031978576', '1031978561', '1031978532', '727353769', '1005261125']","['590114412', '1985646252', '1985645734', '1962356876', '1674370645', '1363983611', '1162561524', '1100787819', '1104468744', '408534827', '408534826', '408534825', '408534824', '408534823', '1031978579', '1031978576', '1031978561', '1031978532', '727353769', '1005261125']"
Azotobacter,"['1033473847', '909637330', '909637329', '909637325', '909637322', '909637321', '909637317', '909637316', '909637312', '909637311', '909637309', '909637307', '652794139', '652794135', '652794133', '515782721', '457864635', '317421165', '18072421']","['1033473847', '909637330', '909637329', '909637325', '909637322', '909637321', '909637317', '909637316', '909637312', '909637311', '909637309', '909637307', '652794139', '652794135', '652794133', '515782721', '457864635', '317421165', '18072421']"
Bacillus,"['2439444472', '2439440188', '2439440187', '2438952713', '2438948429', '2438944281', '2438940217', '2438895312', '2438890201', '2438842159', '2438836624', '2438831543', '2438826509', '2438821093', '2438815283', '2438810200', '2438805249', '2438800125', '2438794776', '2438789845']","['2439444472', '2439440188', '2439440187', '2438952713', '2438948429', '2438944281', '2438940217', '2438895312', '2438890201', '2438842159', '2438836624', '2438831543', '2438826509', '2438821093', '2438815283', '2438810200', '2438805249', '2438800125', '2438794776', '2438789845']"
Bacteriovorax,"['1985648424', '1985646726', '1985644420', '1962359547', '1962353960', '1206256009', '998615827', '998615779', '998615592', '998615582', '998615496', '998615334', '998615217', '998615084', '998614954', '998614925', '998614902', '998614711', '998614526', '998614430']","['1985648424', '1985646726', '1985644420', '1962359547', '1962353960', '1206256009', '998615827', '998615779', '998615592', '998615582', '998615496', '998615334', '998615217', '998615084', '998614954', '998614925', '998614902', '998614711', '998614526', '998614430']"
bacterium enrichment culture clone ecb10,[],[]
bacterium enrichment culture clone ecb9,[],[]
bacterium enrichment culture clone SRC_DSC20,[],[]
bacterium ROME35Asa,[],[]
bacterium SH1-4,[],[]
bacterium TG161,[],[]
Bacteroides,"['2318645574', '2318644022', '2318643906', '2318643747', '2318643459', '2318642641', '2318642418', '2318642268', '2318642211', '2318642197', '2318641865', '2318641809', '2318641398', '2318641326', '2318640674', '2318640453', '2318640016', '2318640015', '2318640001', '2318638643']","['2318645574', '2318644022', '2318643906', '2318643747', '2318643459', '2318642641', '2318642418', '2318642268', '2318642211', '2318642197', '2318641865', '2318641809', '2318641398', '2318641326', '2318640674', '2318640453', '2318640016', '2318640015', '2318640001', '2318638643']"
Bacteroidetes bacterium,"['1269613312', '1269612810']","['1269613312', '1269612810']"
Barnesiella,"['2318643131', '2318638499', '2318636593', '2318635652', '2318625214', '2318620032', '2318619642', '2318618372', '2318617409', '2318617308', '2318614967', '2318613367', '2318612397', '2318612275', '2318612216', '2318612118', '2318611969', '2318611805', '2318611504', '2318611502']","['2318643131', '2318638499', '2318636593', '2318635652', '2318625214', '2318620032', '2318619642', '2318618372', '2318617409', '2318617308', '2318614967', '2318613367', '2318612397', '2318612275', '2318612216', '2318612118', '2318611969', '2318611805', '2318611504', '2318611502']"
Bauldia,"['1079706037', '1033473096']","['1079706037', '1033473096']"
Bdellovibrio,"['1985648434', '1985647925', '1985647662', '1985647527', '1985647511', '1985647124', '1985646986', '1985646200', '1985645606', '1985645274', '1985644952', '1985644757', '1985644540', '1985644445', '1985644181', '1985643645', '1269613665', '1219551611', '1206270950', '1206270609']","['1985648434', '1985647925', '1985647662', '1985647527', '1985647511', '1985647124', '1985646986', '1985646200', '1985645606', '1985645274', '1985644952', '1985644757', '1985644540', '1985644445', '1985644181', '1985643645', '1269613665', '1219551611', '1206270950', '1206270609']"
