uniprot_id	ec_number	protein_name	organism	score
K7RRY9_ACIA4	EC:1.1.1.14	Alcohol dehydrogenase GroES domain-containing protein (EC 1.1.1.14)	Acidipropionibacterium acidipropionici (strain ATCC 4875 / DSM 20272 / JCM 6432 / NBRC 12425 / NCIMB 8070 / 4) (Propionibacterium acidipropionici)	150
A0AAW8NE09_PSEOX	EC:1.1.1.14	L-iditol 2-dehydrogenase/L-idonate 5-dehydrogenase (EC 1.1.1.14, EC 1.1.1.264)	Pseudarthrobacter oxydans (Arthrobacter oxydans)	250
A0A445N1H5_9BACT	EC:1.1.1.157	3-hydroxybutyryl-CoA dehydrogenase (EC 1.1.1.157)	uncultured Desulfobacterium sp	150
A0AAI9IB91_9BURK	EC:1.1.1.157	3-hydroxy-acyl-CoA dehydrogenase (EC 1.1.1.157)	Herbaspirillum frisingense GSF30	250
A0A4Y8WXU2_9MICC	EC:1.1.1.157	3-hydroxybutyryl-CoA dehydrogenase (EC 1.1.1.157)	Micrococcus flavus	650
C0QM54_DESAH	EC:1.1.1.1	Zn-dependet alcohol dehydrogenase (EC 1.1.1.1)	Desulforapulum autotrophicum (strain ATCC 43914 / DSM 3382 / VKM B-1955 / HRM2) (Desulfobacterium autotrophicum)	150
A0A0N0JEH7_9PROT	EC:1.1.1.100	3-ketoacyl-ACP reductase (EC 1.1.1.100)	beta proteobacterium AAP65	150
C0QHF7_DESAH	EC:1.1.1.100	3-oxoacyl-[acyl-carrier-protein] reductase (3-ketoacyl-acyl carrier protein reductase) (EC 1.1.1.100)	Desulforapulum autotrophicum (strain ATCC 43914 / DSM 3382 / VKM B-1955 / HRM2) (Desulfobacterium autotrophicum)	150
A0A0N1A6F1_9PROT	EC:1.1.1.133	dTDP-4-dehydrorhamnose reductase (EC 1.1.1.133)	beta proteobacterium AAP65	150
C0QDJ8_DESAH	EC:1.1.1.133	dTDP-4-dehydrorhamnose reductase (EC 1.1.1.133)	Desulforapulum autotrophicum (strain ATCC 43914 / DSM 3382 / VKM B-1955 / HRM2) (Desulfobacterium autotrophicum)	150
K7RRY9_ACIA4	EC:1.1.1.14	Alcohol dehydrogenase GroES domain-containing protein (EC 1.1.1.14)	Acidipropionibacterium acidipropionici (strain ATCC 4875 / DSM 20272 / JCM 6432 / NBRC 12425 / NCIMB 8070 / 4) (Propionibacterium acidipropionici)	150
A0A445N1H5_9BACT	EC:1.1.1.157	3-hydroxybutyryl-CoA dehydrogenase (EC 1.1.1.157)	uncultured Desulfobacterium sp	150
B8HF54_PSECP	EC:1.1.1.157	3-hydroxybutyryl-CoA dehydrogenase (EC 1.1.1.157)	Pseudarthrobacter chlorophenolicus (strain ATCC 700700 / DSM 12829 / CIP 107037 / JCM 12360 / KCTC 9906 / NCIMB 13794 / A6) (Arthrobacter chlorophenolicus)	250
A0A0N1AF28_9PROT	EC:1.1.1.169	2-dehydropantoate 2-reductase (EC 1.1.1.169) (Ketopantoate reductase)	beta proteobacterium AAP65	150
A0A1W9U228_9BACT	EC:1.1.1.169	2-dehydropantoate 2-reductase (EC 1.1.1.169) (Ketopantoate reductase)	Desulfobacterium sp. 4572_20	250
A0AAJ2H8B1_9BURK	EC:1.1.1.169	2-dehydropantoate 2-reductase (EC 1.1.1.169) (Ketopantoate reductase)	Herbaspirillum huttiense	650
A0A4Y6QWW9_9MICC	EC:1.1.1.17	Mannitol-1-phosphate 5-dehydrogenase (EC 1.1.1.17)	Pseudarthrobacter sp. NIBRBAC000502772	250
A0A4Y6QZI1_9MICC	EC:1.1.1.18	Inositol 2-dehydrogenase (EC 1.1.1.18) (Myo-inositol 2-dehydrogenase) (MI 2-dehydrogenase)	Pseudarthrobacter sp. NIBRBAC000502772	250
B6BUH4_9PROT	EC:1.1.1.193	Riboflavin biosynthesis protein RibD [Includes: Diaminohydroxyphosphoribosylaminopyrimidine deaminase (DRAP deaminase) (EC 3.5.4.26) (Riboflavin-specific deaminase); 5-amino-6-(5-phosphoribosylamino)uracil reductase (EC 1.1.1.193) (HTP reductase)]	beta proteobacterium KB13	150
A0A2H1JSC9_BRELN	EC:1.1.1.193	Riboflavin biosynthesis protein RibD [Includes: Diaminohydroxyphosphoribosylaminopyrimidine deaminase (DRAP deaminase) (EC 3.5.4.26) (Riboflavin-specific deaminase); 5-amino-6-(5-phosphoribosylamino)uracil reductase (EC 1.1.1.193) (HTP reductase)]	Brevibacterium linens	650
C0QKX0_DESAH	EC:1.1.1.193	Riboflavin biosynthesis protein RibD [Includes: Diaminohydroxyphosphoribosylaminopyrimidine deaminase (DRAP deaminase) (EC 3.5.4.26) (Riboflavin-specific deaminase); 5-amino-6-(5-phosphoribosylamino)uracil reductase (EC 1.1.1.193) (HTP reductase)]	Desulforapulum autotrophicum (strain ATCC 43914 / DSM 3382 / VKM B-1955 / HRM2) (Desulfobacterium autotrophicum)	150
A0A542MBF3_9BURK	EC:1.1.1.193	Riboflavin biosynthesis protein RibD [Includes: Diaminohydroxyphosphoribosylaminopyrimidine deaminase (DRAP deaminase) (EC 3.5.4.26) (Riboflavin-specific deaminase); 5-amino-6-(5-phosphoribosylamino)uracil reductase (EC 1.1.1.193) (HTP reductase)]	Herbaspirillum sp. SJZ107	250
A0A0B4D7I9_PSEPS	EC:1.1.1.193	Riboflavin biosynthesis protein RibD [Includes: Diaminohydroxyphosphoribosylaminopyrimidine deaminase (DRAP deaminase) (EC 3.5.4.26) (Riboflavin-specific deaminase); 5-amino-6-(5-phosphoribosylamino)uracil reductase (EC 1.1.1.193) (HTP reductase)]	Pseudarthrobacter phenanthrenivorans (Arthrobacter phenanthrenivorans)	250
B6BTF4_9PROT	EC:1.1.1.205	Inosine-5'-monophosphate dehydrogenase (IMP dehydrogenase) (IMPD) (IMPDH) (EC 1.1.1.205)	beta proteobacterium KB13	150
C0QG06_DESAH	EC:1.1.1.205	Inosine-5'-monophosphate dehydrogenase (IMP dehydrogenase) (IMPD) (IMPDH) (EC 1.1.1.205)	Desulforapulum autotrophicum (strain ATCC 43914 / DSM 3382 / VKM B-1955 / HRM2) (Desulfobacterium autotrophicum)	150
I3CUV1_9BURK	EC:1.1.1.205	Inosine-5'-monophosphate dehydrogenase (IMP dehydrogenase) (IMPD) (IMPDH) (EC 1.1.1.205)	Herbaspirillum sp. GW103	250
A0A365D6Q4_9MICC	EC:1.1.1.205	Inosine-5'-monophosphate dehydrogenase (IMP dehydrogenase) (IMPD) (IMPDH) (EC 1.1.1.205)	Pseudarthrobacter sp. AG30	250
A0A7W8KM87_9BURK	EC:1.1.1.215	Phosphogluconate 2-dehydrogenase/gluconate 2-dehydrogenase (EC 1.1.1.215, EC 1.1.1.43)	Herbaspirillum sp. SJZ102	250
M1T4Y7_9PROT	EC:1.1.1.22	UDP-glucose 6-dehydrogenase (EC 1.1.1.22)	beta proteobacterium CB	150
C0QK31_DESAH	EC:1.1.1.22	UDP-glucose 6-dehydrogenase (EC 1.1.1.22)	Desulforapulum autotrophicum (strain ATCC 43914 / DSM 3382 / VKM B-1955 / HRM2) (Desulfobacterium autotrophicum)	150
A0A6M3ZVG8_9BURK	EC:1.1.1.22	UDP-glucose 6-dehydrogenase (EC 1.1.1.22)	Herbaspirillum rubrisubalbicans Os34	250
A0A5C4IV22_9MICC	EC:1.1.1.22	UDP-glucose 6-dehydrogenase (EC 1.1.1.22)	Pseudarthrobacter sp. NamE5	250
A0A0H4TUI9_9PROT	EC:1.1.1.23	Histidinol dehydrogenase, histidinol dehydrogenase (EC 1.1.1.23)	uncultured beta proteobacterium Rifle_16ft_4_minimus_6091	150
C0QGG1_DESAH	EC:1.1.1.23	HisD1 (EC 1.1.1.23)	Desulforapulum autotrophicum (strain ATCC 43914 / DSM 3382 / VKM B-1955 / HRM2) (Desulfobacterium autotrophicum)	150
A0AAI9II51_9BURK	EC:1.1.1.23	Histidinol dehydrogenase (HDH) (EC 1.1.1.23)	Herbaspirillum frisingense GSF30	250
A0A5R8W860_9MICC	EC:1.1.1.23	Histidinol dehydrogenase (HDH) (EC 1.1.1.23)	Pseudarthrobacter sp. NamE2	250
A0A0N1AXS1_9PROT	EC:1.1.1.25	Shikimate dehydrogenase (NADP(+)) (SDH) (EC 1.1.1.25)	beta proteobacterium AAP51	150
AROE_CLOBH	EC:1.1.1.25	Shikimate dehydrogenase (NADP(+)) (SDH) (EC 1.1.1.25)	Clostridium botulinum (strain Hall / ATCC 3502 / NCTC 13319 / Type A)	250
C0QKS6_DESAH	EC:1.1.1.25	AroE2 (EC 1.1.1.25)	Desulforapulum autotrophicum (strain ATCC 43914 / DSM 3382 / VKM B-1955 / HRM2) (Desulfobacterium autotrophicum)	150
I3CNC6_9BURK	EC:1.1.1.25	Shikimate dehydrogenase (NADP(+)) (SDH) (EC 1.1.1.25)	Herbaspirillum sp. GW103	250
A0A7K1NM80_9MICC	EC:1.1.1.25	Shikimate dehydrogenase (NADP(+)) (SDH) (EC 1.1.1.25)	Pseudarthrobacter sp. GA104	250
A0A099N6U3_PSEDL	EC:1.1.1.25	Shikimate dehydrogenase (NADP(+)) (SDH) (EC 1.1.1.25)	Pseudomonas plecoglossicida	650
A0A839VMR7_9BURK	EC:1.1.1.26	Glyoxylate reductase (EC 1.1.1.26)	Herbaspirillum sp. Sphag64	250
K7RU96_ACIA4	EC:1.1.1.261	3-dehydroquinate synthase (EC 1.1.1.261)	Acidipropionibacterium acidipropionici (strain ATCC 4875 / DSM 20272 / JCM 6432 / NBRC 12425 / NCIMB 8070 / 4) (Propionibacterium acidipropionici)	150
B6BUU4_9PROT	EC:1.1.1.262	4-hydroxythreonine-4-phosphate dehydrogenase (EC 1.1.1.262)	beta proteobacterium KB13	150
A0A7W8KKN4_9BURK	EC:1.1.1.262	4-hydroxythreonine-4-phosphate dehydrogenase (EC 1.1.1.262) (4-(phosphohydroxy)-L-threonine dehydrogenase)	Herbaspirillum sp. SJZ102	250
A0A7K1NGW4_9MICC	EC:1.1.1.262	4-hydroxythreonine-4-phosphate dehydrogenase PdxA (EC 1.1.1.262)	Pseudarthrobacter sp. GA104	250
A0A0A6FIR0_9PSED	EC:1.1.1.262	4-hydroxythreonine-4-phosphate dehydrogenase (EC 1.1.1.262) (4-(phosphohydroxy)-L-threonine dehydrogenase)	Pseudomonas chlororaphis	650
D8J1J0_HERSS	EC:1.1.1.264	L-idonate 5-dehydrogenase protein (EC 1.1.1.264)	Herbaspirillum seropedicae (strain SmR1)	250
A0AAW8NE09_PSEOX	EC:1.1.1.264	L-iditol 2-dehydrogenase/L-idonate 5-dehydrogenase (EC 1.1.1.14, EC 1.1.1.264)	Pseudarthrobacter oxydans (Arthrobacter oxydans)	250
B6BTV5_9PROT	EC:1.1.1.267	1-deoxy-D-xylulose 5-phosphate reductoisomerase (DXP reductoisomerase) (EC 1.1.1.267) (1-deoxyxylulose-5-phosphate reductoisomerase) (2-C-methyl-D-erythritol 4-phosphate synthase)	beta proteobacterium KB13	150
C0QB23_DESAH	EC:1.1.1.267	1-deoxy-D-xylulose 5-phosphate reductoisomerase (DXP reductoisomerase) (EC 1.1.1.267) (1-deoxyxylulose-5-phosphate reductoisomerase) (2-C-methyl-D-erythritol 4-phosphate synthase)	Desulforapulum autotrophicum (strain ATCC 43914 / DSM 3382 / VKM B-1955 / HRM2) (Desulfobacterium autotrophicum)	150
A0A839VFK7_9BURK	EC:1.1.1.267	1-deoxy-D-xylulose 5-phosphate reductoisomerase (DXP reductoisomerase) (EC 1.1.1.267) (1-deoxyxylulose-5-phosphate reductoisomerase) (2-C-methyl-D-erythritol 4-phosphate synthase)	Herbaspirillum sp. Sphag64	250
A0A365D3Q5_9MICC	EC:1.1.1.267	1-deoxy-D-xylulose 5-phosphate reductoisomerase (DXP reductoisomerase) (EC 1.1.1.267) (1-deoxyxylulose-5-phosphate reductoisomerase) (2-C-methyl-D-erythritol 4-phosphate synthase)	Pseudarthrobacter sp. AG30	250
DXR_PSEU2	EC:1.1.1.267	1-deoxy-D-xylulose 5-phosphate reductoisomerase (DXP reductoisomerase) (EC 1.1.1.267) (1-deoxyxylulose-5-phosphate reductoisomerase) (2-C-methyl-D-erythritol 4-phosphate synthase)	Pseudomonas syringae pv. syringae (strain B728a)	250
LDH_PRIMG	EC:1.1.1.27	L-lactate dehydrogenase (L-LDH) (EC 1.1.1.27)	Priestia megaterium (Bacillus megaterium)	150
D8J228_HERSS	EC:1.1.1.27	Malate/L-lactate dehydrogenase protein (EC 1.1.1.27)	Herbaspirillum seropedicae (strain SmR1)	250
F0M8H8_PSEPM	EC:1.1.1.27	L-lactate dehydrogenase (L-LDH) (EC 1.1.1.27)	Pseudarthrobacter phenanthrenivorans (strain DSM 18606 / JCM 16027 / LMG 23796 / Sphe3) (Arthrobacter phenanthrenivorans)	250
LDH_STRSY	EC:1.1.1.27	L-lactate dehydrogenase (L-LDH) (EC 1.1.1.27)	Streptococcus suis (strain 05ZYH33)	250
M1RQW7_9PROT	EC:1.1.1.271	GDP-L-fucose synthase (EC 1.1.1.271) (GDP-4-keto-6-deoxy-D-mannose-3,5-epimerase-4-reductase)	beta proteobacterium CB	150
E1YK88_9BACT	EC:1.1.1.271	GDP-L-fucose synthase (EC 1.1.1.271) (GDP-4-keto-6-deoxy-D-mannose-3,5-epimerase-4-reductase)	uncultured Desulfobacterium sp	150
D8IWJ0_HERSS	EC:1.1.1.28	D-lactate dehydrogenase protein (EC 1.1.1.28)	Herbaspirillum seropedicae (strain SmR1)	250
M1SIZ9_9PROT	EC:1.1.1.284	S-(hydroxymethyl)glutathione dehydrogenase (EC 1.1.1.284)	beta proteobacterium CB	150
J2LPX8_9BURK	EC:1.1.1.284	S-(hydroxymethyl)glutathione dehydrogenase (EC 1.1.1.284)	Herbaspirillum sp. CF444	250
A0AAQ0KKL5_PARVE	EC:1.1.1.284	S-(hydroxymethyl)glutathione dehydrogenase (EC 1.1.1.284)	Paracoccus versutus (Thiobacillus versutus)	150
A0A0N1AEX6_9PROT	EC:1.1.1.3	Homoserine dehydrogenase (EC 1.1.1.3)	beta proteobacterium AAP51	150
C0Q8X5_DESAH	EC:1.1.1.3	Homoserine dehydrogenase (EC 1.1.1.3)	Desulforapulum autotrophicum (strain ATCC 43914 / DSM 3382 / VKM B-1955 / HRM2) (Desulfobacterium autotrophicum)	150
A0A223PGW4_9BURK	EC:1.1.1.3	Homoserine dehydrogenase (EC 1.1.1.3)	Herbaspirillum sp. meg3	250
A0A7Y5Y985_9MICC	EC:1.1.1.3	Homoserine dehydrogenase (EC 1.1.1.3)	Pseudarthrobacter sp. C4D7	250
A0A081JH10_STRMC	EC:1.1.1.3	Homoserine dehydrogenase (EC 1.1.1.3)	Streptococcus macedonicus (Streptococcus gallolyticus macedonicus)	250
D8INU2_HERSS	EC:1.1.1.30	Beta-hydroxybutyrate dehydrogenase protein (EC 1.1.1.30)	Herbaspirillum seropedicae (strain SmR1)	250
A0A7L7VZ94_9MICC	EC:1.1.1.30	3-hydroxybutyrate dehydrogenase (EC 1.1.1.30)	Pseudarthrobacter sp. BIM B-2242	250
A0AAW8NF59_PSEOX	EC:1.1.1.303	(R,R)-butanediol dehydrogenase/meso-butanediol dehydrogenase/diacetyl reductase (EC 1.1.1.-, EC 1.1.1.303, EC 1.1.1.4)	Pseudarthrobacter oxydans (Arthrobacter oxydans)	250
A0A4Y6QXW6_9MICC	EC:1.1.1.306	S-(Hydroxymethyl)mycothiol dehydrogenase (EC 1.1.1.306)	Pseudarthrobacter sp. NIBRBAC000502772	250
A0A1E7D9N8_ALTMA	EC:1.1.1.307	NADPH-dependent D-xylose reductase (EC 1.1.1.307)	Alteromonas macleodii (Pseudoalteromonas macleodii)	150
C0QF48_DESAH	EC:1.1.1.31	YwkC (EC 1.1.1.31)	Desulforapulum autotrophicum (strain ATCC 43914 / DSM 3382 / VKM B-1955 / HRM2) (Desulfobacterium autotrophicum)	150
J2UT15_9BURK	EC:1.1.1.31	3-hydroxyisobutyrate dehydrogenase (HIBADH) (EC 1.1.1.31)	Herbaspirillum sp. CF444	250
A0A0S4LM06_9BACT	EC:1.1.1.31	Putative 3-hydroxyisobutyrate dehydrogenase (EC 1.1.1.31)	Candidatus Nitrospira nitrosa	150
A0A5C4IVT2_9MICC	EC:1.1.1.31	3-hydroxyisobutyrate dehydrogenase (HIBADH) (EC 1.1.1.31)	Pseudarthrobacter sp. NamE5	250
A0AAW8NED2_PSEOX	EC:1.1.1.328	Nicotine blue oxidoreductase (EC 1.1.1.328)	Pseudarthrobacter oxydans (Arthrobacter oxydans)	250
A0A9X5BZL9_BACCE	EC:1.1.1.343	6-phosphogluconate dehydrogenase (6-phosphogluconate dehydrogenase, NAD(+)-dependent, decarboxylating (EC 1.1.1.343)) (Decarboxylating 6-phosphogluconate dehydrogenase)	Bacillus cereus	650
A0A7W4UWJ7_LEIAQ	EC:1.1.1.343	6-phosphogluconate dehydrogenase (EC 1.1.1.343, EC 1.1.1.44)	Leifsonia aquatica (Corynebacterium aquaticum)	150
A0A7S8J077_9BACT	EC:1.1.1.343	6-phosphogluconate dehydrogenase, NAD(+)-dependent, decarboxylating (EC 1.1.1.343)	Candidatus Nitrospira kreftii	150
A0AAW8NH47_PSEOX	EC:1.1.1.343	6-phosphogluconate dehydrogenase (EC 1.1.1.343, EC 1.1.1.44)	Pseudarthrobacter oxydans (Arthrobacter oxydans)	250
A0A7X2ICH9_9BURK	EC:1.1.1.346	2,5-didehydrogluconate reductase DkgB (EC 1.1.1.346)	Herbaspirillum sp. CAH-3	250
A0A839Q6R2_MYCIR	EC:1.1.1.346	2,5-diketo-D-gluconate reductase A (EC 1.1.1.346)	Mycolicibacterium iranicum (Mycobacterium iranicum)	150
A0AAW8N8Z0_PSEOX	EC:1.1.1.346	2,5-diketo-D-gluconate reductase A (EC 1.1.1.346)	Pseudarthrobacter oxydans (Arthrobacter oxydans)	250
C0QGF1_DESAH	EC:1.1.1.35	3-hydroxyacyl-CoA dehydrogenase (EC 1.1.1.35)	Desulforapulum autotrophicum (strain ATCC 43914 / DSM 3382 / VKM B-1955 / HRM2) (Desulfobacterium autotrophicum)	150
A0A0S4X3X9_RALSL	EC:1.1.1.35	Putative trifunctonal: enoyl-coa hydratase and delta3-cis-delta2-trans-enoyl-coa isomerase and 3-hydroxyacyl-coa dehydrogenase oxidoreductase protein (EC 1.1.1.35, EC 4.2.1.17, EC 5.3.3.8)	Ralstonia solanacearum (Pseudomonas solanacearum)	250
A0A0N1AHV5_9PROT	EC:1.1.1.36	3-ketoacyl-ACP reductase (EC 1.1.1.36)	beta proteobacterium AAP51	150
D8J0D0_HERSS	EC:1.1.1.36	Acetoacetyl-CoA reductase protein (EC 1.1.1.36)	Herbaspirillum seropedicae (strain SmR1)	250
A0AAW9DSL3_ACIAO	EC:1.1.1.36	Acetoacetyl-CoA reductase (EC 1.1.1.36)	Acidiphilium acidophilum (Thiobacillus acidophilus)	150
A0AAW8NC57_PSEOX	EC:1.1.1.369	Myo-inositol 2-dehydrogenase/D-chiro-inositol 1-dehydrogenase (EC 1.1.1.18, EC 1.1.1.369)	Pseudarthrobacter oxydans (Arthrobacter oxydans)	250
A0A0N1LCS9_9PROT	EC:1.1.1.37	Malate dehydrogenase (EC 1.1.1.37)	beta proteobacterium AAP99	150
A0A923A3Y0_9BACT	EC:1.1.1.37	Malate dehydrogenase (EC 1.1.1.37)	Desulfobacterium sp	650
A0A542LJ82_9BURK	EC:1.1.1.37	Malate dehydrogenase (EC 1.1.1.37)	Herbaspirillum sp. SJZ107	250
D5X4M7_THIK1	EC:1.1.1.37	Malate dehydrogenase (EC 1.1.1.37)	Thiomonas intermedia (strain K12) (Thiobacillus intermedius)	150
A0A2A5IT78_BACPU	EC:1.1.1.38	NAD-dependent malic enzyme (EC 1.1.1.38)	Bacillus pumilus (Bacillus mesentericus)	250
A4J8Q5_DESRM	EC:1.1.1.38	Malate dehydrogenase (Oxaloacetate-decarboxylating) (EC 1.1.1.38)	Desulforamulus reducens (strain ATCC BAA-1160 / DSM 100696 / MI-1) (Desulfotomaculum reducens)	150
A0AAW8NFR4_PSEOX	EC:1.1.1.38	Malate dehydrogenase (Oxaloacetate-decarboxylating) (EC 1.1.1.38)	Pseudarthrobacter oxydans (Arthrobacter oxydans)	250
A0A5F0LM44_9BURK	EC:1.1.1.381	NADP-dependent 3-hydroxy acid dehydrogenase YdfG (EC 1.1.1.298) (EC 1.1.1.381) (L-allo-threonine dehydrogenase) (Malonic semialdehyde reductase)	Herbaspirillum sp. 3C11	250
A0AAW8NF59_PSEOX	EC:1.1.1.4	(R,R)-butanediol dehydrogenase/meso-butanediol dehydrogenase/diacetyl reductase (EC 1.1.1.-, EC 1.1.1.303, EC 1.1.1.4)	Pseudarthrobacter oxydans (Arthrobacter oxydans)	250
B6BU36_9PROT	EC:1.1.1.40	Bifunctional protein: malate dehydrogenase phosphotransacetylase (EC 1.1.1.40)	beta proteobacterium KB13	150
A0A445MVC7_9BACT	EC:1.1.1.40	NADP-dependent malic enzyme (EC 1.1.1.40)	uncultured Desulfobacterium sp	150
A0A7W8NRZ1_9BURK	EC:1.1.1.40	Malate dehydrogenase (Oxaloacetate-decarboxylating)(NADP+) (EC 1.1.1.40)	Herbaspirillum sp. SJZ102	250
D0KVP8_HALNC	EC:1.1.1.40	Malate dehydrogenase (Oxaloacetate-decarboxylating) (NADP(+)) (EC 1.1.1.40)	Halothiobacillus neapolitanus (strain ATCC 23641 / c2) (Thiobacillus neapolitanus)	150
M1RR30_9PROT	EC:1.1.1.42	Isocitrate dehydrogenase [NADP] (EC 1.1.1.42) (Oxalosuccinate decarboxylase)	beta proteobacterium CB	150
C0QCE3_DESAH	EC:1.1.1.42	Isocitrate dehydrogenase [NADP] (EC 1.1.1.42)	Desulforapulum autotrophicum (strain ATCC 43914 / DSM 3382 / VKM B-1955 / HRM2) (Desulfobacterium autotrophicum)	150
A0AAE4K6A9_9BURK	EC:1.1.1.42	Isocitrate dehydrogenase [NADP] (EC 1.1.1.42)	Herbaspirillum huttiense NC40101	250
A0A5C4ITY6_9MICC	EC:1.1.1.42	Isocitrate dehydrogenase [NADP] (EC 1.1.1.42) (Oxalosuccinate decarboxylase)	Pseudarthrobacter sp. NamE5	250
D8IWQ8_HERSS	EC:1.1.1.43	Gluconate dehydrogenase protein (EC 1.1.1.43)	Herbaspirillum seropedicae (strain SmR1)	250
A0A7K1NRK4_9MICC	EC:1.1.1.44	6-phosphogluconate dehydrogenase, decarboxylating (EC 1.1.1.44)	Pseudarthrobacter sp. GA104	250
A0A0N0JDL5_9PROT	EC:1.1.1.47	Sugar dehydrogenase (EC 1.1.1.47)	beta proteobacterium AAP65	150
D8IXV2_HERSS	EC:1.1.1.48	D-galactose-1-dehydrogenase protein (EC 1.1.1.48)	Herbaspirillum seropedicae (strain SmR1)	250
A0A542M2J0_9BURK	EC:1.1.1.49	Glucose-6-phosphate 1-dehydrogenase (G6PD) (EC 1.1.1.49)	Herbaspirillum sp. SJZ107	250
A0A0U3QUZ3_9MICC	EC:1.1.1.49	Glucose-6-phosphate 1-dehydrogenase (G6PD) (EC 1.1.1.49)	Pseudarthrobacter sulfonivorans	650
F8GRB5_CUPNN	EC:1.1.1.51	3-beta-hydroxysteroid dehydrogenase (EC 1.1.1.51)	Cupriavidus necator (strain ATCC 43291 / DSM 13513 / CCUG 52238 / LMG 8453 / N-1) (Ralstonia eutropha)	150
D8J127_HERSS	EC:1.1.1.56	Ribitol 2-dehydrogenase protein (EC 1.1.1.56)	Herbaspirillum seropedicae (strain SmR1)	250
K7RPA5_ACIA4	EC:1.1.1.57	Mannitol dehydrogenase, C-terminal domain-containing protein (EC 1.1.1.57)	Acidipropionibacterium acidipropionici (strain ATCC 4875 / DSM 20272 / JCM 6432 / NBRC 12425 / NCIMB 8070 / 4) (Propionibacterium acidipropionici)	150
A0AAJ1SUH6_9MICC	EC:1.1.1.57	Fructuronate reductase (EC 1.1.1.57)	Pseudarthrobacter niigatensis	650
A0A7W8NQW6_9BURK	EC:1.1.1.60	2-hydroxy-3-oxopropionate reductase (EC 1.1.1.60)	Herbaspirillum sp. SJZ102	250
A0A7K1NN42_9MICC	EC:1.1.1.60	2-hydroxy-3-oxopropionate reductase (EC 1.1.1.60)	Pseudarthrobacter sp. GA104	250
A0A6T9Y4U3_ALTMA	EC:1.1.1.67	Mannitol 2-dehydrogenase (EC 1.1.1.67)	Alteromonas macleodii (Pseudoalteromonas macleodii)	150
D8J1I9_HERSS	EC:1.1.1.69	Gluconate 5-dehydrogenase oxidoreductase protein (EC 1.1.1.69)	Herbaspirillum seropedicae (strain SmR1)	250
A0AAW8NFG3_PSEOX	EC:1.1.1.69	Gluconate 5-dehydrogenase (EC 1.1.1.69)	Pseudarthrobacter oxydans (Arthrobacter oxydans)	250
A0A223PC29_9BURK	EC:1.1.1.79	Bifunctional glyoxylate/hydroxypyruvate reductase B (EC 1.1.1.79, EC 1.1.1.81)	Herbaspirillum sp. meg3	250
